工程No.,工程名,作業内容,確認ポイント,判断基準,メモ欄（気づき・仮説）
1,発見欄スクロール,自分の発見欄（おすすめ欄）からリールをひたすらスクロールする,リールタブではなく発見欄を使う（自分のジャンル＆同世代向けに最適化されているため）,ユーザーが今求めているものを探す視点で見る,
2,気になる動画の発見,スクロール中に「手が止まった動画」「最後まで見てしまった動画」をメモ,感覚的に手が止まったかどうか,1〜2秒で止まったものが対象,
3,再生回数の確認,発見した動画の発信者アカウントに飛び再生回数を確認,バズ基準：100万再生以上 / フォロワー数の10倍以上 / 平均再生を大きく超えている,上記いずれかに該当すればバズ動画と判断,動画URL：
4,バズ動画の保存,インスタの保存機能で後から見返せるように保存する,保存済みか確認,保存完了,保存フォルダ名：
5,冒頭7秒の分析,バズ動画の冒頭7秒を見て「なぜ手が止まったか」を言語化する,以下の3つのフックのどれかを特定する（複数可）,ビジュアル・サウンド・バーバルのどれか,
5-A,ビジュアルフックの確認,映像（見た目）で手が止まったか確認,冒頭の映像・動き・世界観が原因か,映像だけで手が止まるレベルのインパクトがあるか,具体的な映像内容：
5-B,サウンドフックの確認,音（BGM・効果音・声）で手が止まったか確認（音ありで視聴）,特徴的な音・BGM・アフレコがあるか,音を消したら手が止まらないかで判断,具体的な音の内容：
5-C,バーバルフックの確認,冒頭の一言（テキスト・セリフ）で手が止まったか確認,インパクトワード・気になる問いかけがあるか,そのワードだけで続きが見たくなるか,具体的なワード：
6,バズ要素の仮説立て,5-A〜Cで特定した要素を元にバズの仮説を言語化する,仮説は1〜3個に絞る,「〇〇だからバズっている」と言語化できるか,仮説内容：
7,アカウント全体の分析,発見した動画の発信者アカウント全体を確認し他のバズ動画を探す,バズっている投稿の冒頭に共通点があるか,複数の投稿で同じ要素が繰り返されているか,アカウント名：
8,仮説の検証,手順6の仮説がアカウント内の他のバズ動画でも共通しているか確認する,バズ投稿に共通してその要素が使われているか,共通点が3投稿以上で確認できれば仮説が有力,検証結果（〇/△/×）：
9,フック種別の特定,共通点がビジュアル・サウンド・バーバルのどれかを最終確定する,3つのフックのうちどれに分類されるか明確か,1つに絞れない場合は組み合わせとして記録,最終フック種別：
10,自分の動画への落とし込み,分析したバズ要素を自分のジャンル・アカウントにどう活かすか考える,自分の動画の冒頭にその要素を入れられるか,具体的な実装イメージが浮かぶか,実装アイデア：
