カテゴリ,質問ID,質問,あなたの回答,記入のヒント
【基本プロフィール】,P-01,あなたのIELTSコーチとしての肩書き・名前は？,,例：IELTSライティングコーチ ○○
【基本プロフィール】,P-02,今のスコア帯・実績は？（数字で）,,例：バンド7.5取得／生徒の平均0.5スコアアップ
【基本プロフィール】,P-03,個別相談の内容を一言で言うと？,,例：IELTSライティングの採点基準を完全理解して点数を上げる60分セッション
【基本プロフィール】,P-04,個別相談の料金・時間・形式は？,,例：60分・Zoom・¥○○○○
【基本プロフィール】,P-05,個別相談の募集人数・募集期間は？,,例：5名限定・6/10〜6/15受付
,,,,
【ターゲット読者】,T-01,どんな人に来てほしい？（具体的に）,,例：スコアが伸び悩んでいる社会人／海外大学院を目指している人
【ターゲット読者】,T-02,その人たちが一番抱えている悩みは？,,例：Task Achievement で何を書けばいいか分からない
【ターゲット読者】,T-03,その人たちがよく言うセリフは？（実際のDMや声）,,例：「添削してもらっても同じミスを繰り返します」
【ターゲット読者】,T-04,その悩みを放置するとどうなるか？,,例：受験料を何度も払い続け・時間もお金も消耗し続ける
【ターゲット読者】,T-05,相談後にどんな状態になってほしいか？,,例：自分で採点基準を使って自己添削できるようになる
,,,,
【あなたの過去の失敗】,F-01,IELTS学習中に自分が経験した一番大きな失敗は？,,例：3回受験しても同じスコアで停滞した
【あなたの過去の失敗】,F-02,その時にかけた費用・時間・回数（具体的な数字）,,例：約15万円・1年半・4回受験
【あなたの過去の失敗】,F-03,なぜ失敗していたのか（後から気づいた原因）,,例：採点基準を誤解したまま勉強していた
【あなたの過去の失敗】,F-04,何をきっかけに突破できたか？,,例：公式のバンドディスクリプターを分解して理解し直した
【あなたの過去の失敗】,F-05,突破後に達成したスコア・成果（数字）,,例：ライティング6.5→7.5に半年で到達
,,,,
【コーチになった理由・やる理由】,R-01,なぜIELTSコーチをやっているか（感情的な理由）,,例：同じ失敗で時間を無駄にしてほしくないから
【コーチになった理由・やる理由】,R-02,コーチを始めたきっかけのエピソードは？,,例：友人に頼まれて教えたら1ヶ月でスコアが上がった
【コーチになった理由・やる理由】,R-03,続けている理由・やりがいを感じる瞬間は？,,例：「受かりました！」のLINEが来た時
【コーチになった理由・やる理由】,R-04,コーチとして大切にしている価値観は？,,例：テクニックより「なぜ」の理解を優先する
,,,,
【生徒の成果・可能性の提示】,S-01,生徒が出した一番印象的な成果（数字込みで）,,例：ライティング5.5から7.0に3ヶ月で到達
【生徒の成果・可能性の提示】,S-02,その生徒のビフォー状態は？,,例：Task 2で何を書けばいいか全く分からなかった
【生徒の成果・可能性の提示】,S-03,ターゲット読者が「私もできるかも」と思えるエピソードは？,,例：週1回30分の練習だけで結果が出た
【生徒の成果・可能性の提示】,S-04,「特別な人だけじゃない」と示せるエピソードは？,,例：英語が得意でなくてもロジック整理で点数が上がった事例
,,,,
【個別相談の中身】,C-01,相談の中で一番価値があると思うセッション内容は？,,例：その人の答案を採点基準に照らし合わせてリアルタイム解説
【個別相談の中身】,C-02,相談を受けると何が分かる／何が変わる？,,例：自分の答案のどこが減点になっているか具体的に分かる
【個別相談の中身】,C-03,相談に来る前によく持たれている誤解・不安は？,,例：「添削してもらうだけでしょ？」「英語力が低すぎて無理かも」
【個別相談の中身】,C-04,その誤解への答えは？,,例：添削ではなく採点基準の使い方を教えます
【個別相談の中身】,C-05,相談で扱う具体的な内容・流れ（箇条書き可）,,例：①答案診断②バンド別の改善ポイント③次の練習プラン
,,,,
【ハードル下げ・参入障壁除去】,H-01,「相談しにくい」と感じる理由として想像されるものは？,,例：英語力が低い／忙しい／お金がかかる
【ハードル下げ・参入障壁除去】,H-02,それへの具体的な答えは？,,例：英語力より思考の整理が先／60分だけでOK
【ハードル下げ・参入障壁除去】,H-03,相談に必要なものは何だけでいい？,,例：今まで書いた答案1枚だけ持ってきてください
,,,,
【挑戦の注意点・落とし穴】,W-01,IELTS学習でよくある間違った取り組み方は？,,例：とにかく量を書けば伸びると思っている
【挑戦の注意点・落とし穴】,W-02,それをやり続けるとどうなるか？,,例：同じミスが化石化して直せなくなる
【挑戦の注意点・落とし穴】,W-03,正しい取り組み方を一言で言うと？,,例：質の高い1本＞量の多い10本
,,,,
【現在の進捗・リアル共有】,PR-01,今あなたが取り組んでいること・準備していることは？,,例：個別相談の枠を今週限定で開放する準備中
【現在の進捗・リアル共有】,PR-02,なぜ今このタイミングで個別相談を開放するのか？,,例：受験シーズン前に本気で取り組む人を応援したいから
,,,,
【お知らせ・CTA】,A-01,申し込み・問い合わせ方法は？,,例：プロフィールのリンクから／DMで「相談」と送る
【お知らせ・CTA】,A-02,締め切り・限定感を出せる要素は？,,例：6/7(土)23:59まで／先着5名
【お知らせ・CTA】,A-03,申し込んだ人への特典はある？（任意）,,例：事前にフォームで答案を送ってもらえれば当日すぐ診断開始
