カテゴリ,質問ID,質問,あなたの回答,記入のヒント
【型1：冒頭フック＋業界常識否定型】,I-01,IELTS学習の「みんなが信じているけど実は間違っている常識」を3つ書いてください,,例：語彙を増やせばスコアが上がる／テンプレートで点数が取れる／とにかく書く量を増やせばいい
【型1：冒頭フック＋業界常識否定型】,I-02,その常識が「なぜ間違っているのか」を一言ずつ説明してください,,例：語彙より論理展開が採点の半分以上を占めるから
【型1：冒頭フック＋業界常識否定型】,I-03,その常識を覆した後に「本当に必要なこと」は何ですか？,,例：採点基準を理解した上で「何を書くか」から設計すること
,,,,
【型2：自身のリアルな思い・覚悟型】,RI-01,IELTS業界の「綺麗事・表面的な発信」に対してあなたが感じる違和感は？,,例：テンプレートを売るだけで本質的な思考力を育てない講座が多い
【型2：自身のリアルな思い・覚悟型】,RI-02,あなたが「他のコーチと違う」と思う点を正直に書いてください,,例：結果が出ない可能性がある人には正直に伝えてお断りすることがある
【型2：自身のリアルな思い・覚悟型】,RI-03,発信やコーチングをする上で「これだけは曲げない」という価値観は？,,例：自分のアイデアで書ける力を育てる／テンプレートに頼らせない
【型2：自身のリアルな思い・覚悟型】,RI-04,「何かを得るには同等の何かを差し出す必要がある」とあなた自身が経験した場面は？,,例：スコアを上げるために睡眠時間を削った／仕事を調整して勉強に集中した
,,,,
【型3：不安解消＋業界の遅さの否定型】,LA-01,「今からIELTS対策を始めても遅くないですか？」という不安への答えを書いてください,,例：遅くない。ただし正しい方向で始めることが条件
【型3：不安解消＋業界の遅さの否定型】,LA-02,「実はまだほとんどの人がやっていない」と言えるIELTS学習法や視点はありますか？,,例：採点基準を完全理解してから練習している人は本当に少ない
【型3：不安解消＋業界の遅さの否定型】,LA-03,「今すぐ始めた方がいい理由」を数字や事実を使って説明してください,,例：スコア0.5アップに約200時間必要／受験締め切りまでの逆算
,,,,
【型4：悩み＋解決策のリアル体験談型】,RT-01,あなた自身が「正しいやり方を知らなかった時期」に費やした時間・費用・回数を具体的に,,例：1年半・10回以上受験・語彙学習に毎日2時間を費やしていた
【型4：悩み＋解決策のリアル体験談型】,RT-02,「何が変わったことでスコアが動き始めたか」を一つのターニングポイントとして書いてください,,例：「何を書くか」の論理設計を先にやるようにしたこと
【型4：悩み＋解決策のリアル体験談型】,RT-03,その変化の前後で「生活や気持ち」がどう変わったかを教えてください,,例：受験が怖くなくなった／毎回の練習に手応えを感じられるようになった
,,,,
【型5：考え方の共有＋停滞構造批判型】,ST-01,「無料情報をいくら集めてもスコアが上がらない本当の理由」は何だと思いますか？,,例：情報の量ではなく「自分の課題への当てはめ方」が分からないから
【型5：考え方の共有＋停滞構造批判型】,ST-02,IELTS学習者が「やり方を知らないまま行動させられている」と感じる業界の構造はありますか？,,例：添削サービスが多いが「なぜ間違いか」まで教えてくれるものがない
【型5：考え方の共有＋停滞構造批判型】,ST-03,その構造に対してあなたのコーチングはどう「違う」のかを一言で,,例：間違いを指摘するだけでなく「考え方ごと」を一緒に作り直す
,,,,
【型6：回答事例シェア＋丁寧さフロント型】,RE-01,過去にDMや質問で「この回答が役に立った」と反応が良かったやりとりを教えてください,,例：「採点基準のTRって何を意識すればいい？」という質問への回答
【型6：回答事例シェア＋丁寧さフロント型】,RE-02,その質問に対してあなたはどう答えましたか？（できるだけ具体的に）,,例：TRはトピックへの直接的な回答と十分な根拠の展開が両方必要と説明
【型6：回答事例シェア＋丁寧さフロント型】,RE-03,「たったこれだけで変わった」と言える学習法や気づきを教えてください,,例：書く前に日本語でアウトラインを5分作るだけで得点が変わった
,,,,
【型7：可能性のシェア＋リアル情報型】,PO-01,「こんな状況の人でもスコアが上がった」という意外な属性・条件を持つ生徒のエピソードは？,,例：週末しか勉強できない子育て中のママ／フルタイム勤務で1日30分しか取れない人
【型7：可能性のシェア＋リアル情報型】,PO-02,その人がスコアアップできた「決定的な理由」は何ですか？,,例：量より質を徹底した／1回の練習で課題を必ず1つ解決するルールにした
【型7：可能性のシェア＋リアル情報型】,PO-03,「独学と比べてコーチングはここが違う」を具体的に説明してください,,例：独学では自分の癖に気づけない／コーチがいると誤った方向に進んでいてもすぐ修正できる
,,,,
【型8：結果・実績共有型】,RS-01,あなた自身のIELTSスコアの変遷を時系列で教えてください（数字で）,,例：最初5.5→半年後6.0→1年後6.5→1年半後7.5
【型8：結果・実績共有型】,RS-02,スコアが「動き始めたタイミング」と「そこで何をしていたか」を教えてください,,例：採点基準を分解して理解した後から毎回の練習に根拠が生まれた
【型8：結果・実績共有型】,RS-03,生徒が「過去の失敗から理想の未来へ変わった」と感じた瞬間のエピソードは？,,例：「初めて自分の答案が何点か自分で分かった」と言ってくれた時
,,,,
【型9：さらなるメリット比較型】,MC-01,「IELTS対策をコーチなしで続けること」と「コーチングを受けること」の違いを比較してください,,例：独学＝間違いに気づくのが遅い・修正に時間がかかる／コーチング＝即修正・最短で課題解決
【型9：さらなるメリット比較型】,MC-02,「時間・費用・精神的コスト」の3つで比較するとどうなりますか？,,例：独学で半年かかることがコーチングなら2ヶ月で達成できる事例がある
【型9：さらなるメリット比較型】,MC-03,「コーチングを受けない場合に起こりうるリスク」を正直に教えてください,,例：受験料を何度も払い続ける／留学準備が間に合わない／スコア期限を逃す
